,State,Total_cases,Confirmed_cases,Probable_cases,New_cases,Probable_newcases,Total_death,Confirmed_deaths,Probable_death,New_Death,Probable_newdeath,Year,Month,Weekday,STATE,RELIGEX,FMFINE,RSTOUTDR,VBMAUTOBAL,NOPAYCOV
0,TX,0,,,0,,0,,,0,,2020,March,Monday,Texas,Yes,Yes,No,No,Yes
1,TX,0,,,0,,0,,,0,,2020,March,Tuesday,Texas,Yes,Yes,No,No,Yes
2,TX,"5,330",,,661,,90,,,20,,2020,March,Wednesday,Texas,Yes,Yes,No,No,Yes
3,TX,"31,548",,,996,0,867,,,20,0,2020,March,Thursday,Texas,Yes,Yes,No,No,Yes
4,TX,"68,271",,,"1,703",0,"1,734",,,36,0,2020,March,Friday,Texas,Yes,Yes,No,No,Yes
5,TX,"183,532",,,"7,555",0,"2,575",,,50,0,2020,March,Saturday,Texas,Yes,Yes,No,No,Yes
6,TX,"442,014",,,"11,529",0,"7,016",,,179,0,2020,March,Sunday,Texas,Yes,Yes,No,No,Yes
7,TX,"625,347",,,"3,680",0,"13,091",,,221,0,2020,March,Monday,Texas,Yes,Yes,No,No,Yes
8,TX,"763,010",,,"7,006",0,"15,992",,,97,0,2020,March,Tuesday,Texas,Yes,Yes,No,No,Yes
9,TX,"916,773",,,"7,516",0,"18,194",,,97,0,2020,March,Wednesday,Texas,Yes,Yes,No,No,Yes
10,TX,36,,,12,,0,,,0,,2020,March,Friday,Texas,Yes,Yes,No,No,Yes
11,TX,43,,,7,,0,,,0,,2020,March,Saturday,Texas,Yes,Yes,No,No,Yes
12,TX,51,,,8,,0,,,0,,2020,March,Sunday,Texas,Yes,Yes,No,No,Yes
13,TX,57,,,6,,0,,,0,,2020,March,Monday,Texas,Yes,Yes,No,No,Yes
14,TX,64,,,7,,1,,,1,,2020,March,Tuesday,Texas,Yes,Yes,No,No,Yes
15,TX,83,,,19,,2,,,1,,2020,March,Wednesday,Texas,Yes,Yes,No,No,Yes
16,TX,143,,,60,,3,,,1,,2020,March,Thursday,Texas,Yes,Yes,No,No,Yes
17,TX,401,,,258,,5,,,2,,2020,March,Friday,Texas,Yes,Yes,No,No,Yes
18,TX,507,,,106,,5,,,0,,2020,March,Saturday,Texas,Yes,Yes,No,No,Yes
19,TX,507,,,0,,5,,,0,,2020,March,Sunday,Texas,Yes,Yes,No,No,Yes
20,TX,507,,,0,,8,,,3,,2020,March,Monday,Texas,Yes,Yes,No,No,Yes
21,TX,715,,,208,,11,,,3,,2020,March,Tuesday,Texas,Yes,Yes,No,No,Yes
22,TX,974,,,259,,12,,,1,,2020,March,Wednesday,Texas,Yes,Yes,No,No,Yes
23,TX,"1,396",,,422,,18,,,6,,2020,March,Thursday,Texas,Yes,Yes,No,No,Yes
24,TX,"1,731",,,335,,23,,,5,,2020,March,Friday,Texas,Yes,Yes,No,No,Yes
25,TX,"2,052",,,321,,27,,,4,,2020,March,Saturday,Texas,Yes,Yes,No,No,Yes
26,TX,"2,552",,,500,,34,,,7,,2020,March,Sunday,Texas,Yes,Yes,No,No,Yes
27,TX,"2,877",,,325,,38,,,4,,2020,March,Monday,Texas,Yes,Yes,No,No,Yes
28,TX,"3,266",,,389,,41,,,3,,2020,March,Tuesday,Texas,Yes,Yes,No,No,Yes
29,TX,0,,,0,,0,,,0,,2020,April,Thursday,Texas,Yes,Yes,No,No,Yes
30,TX,0,,,0,,0,,,0,,2020,April,Friday,Texas,Yes,Yes,No,No,Yes
31,TX,"6,110",,,780,,105,,,15,,2020,April,Saturday,Texas,Yes,Yes,No,No,Yes
32,TX,"32,332",,,784,0,884,,,17,0,2020,April,Sunday,Texas,Yes,Yes,No,No,Yes
33,TX,"69,920",,,"1,649",0,"1,767",,,33,0,2020,April,Monday,Texas,Yes,Yes,No,No,Yes
34,TX,"191,790",,,"8,258",0,"2,608",,,33,0,2020,April,Tuesday,Texas,Yes,Yes,No,No,Yes
35,TX,"451,181",,,"9,167",0,"7,261",,,245,0,2020,April,Wednesday,Texas,Yes,Yes,No,No,Yes
36,TX,"630,829",,,"5,482",0,"13,231",,,140,0,2020,April,Thursday,Texas,Yes,Yes,No,No,Yes
37,TX,"765,894",,,"2,884",0,"16,025",,,33,0,2020,April,Friday,Texas,Yes,Yes,No,No,Yes
38,TX,"926,400",,,"9,627",0,"18,320",,,126,0,2020,April,Saturday,Texas,Yes,Yes,No,No,Yes
39,TX,"13,906",,,422,,287,,,16,,2020,April,Monday,Texas,Yes,Yes,No,No,Yes
40,TX,"14,624",,,718,,318,,,31,,2020,April,Tuesday,Texas,Yes,Yes,No,No,Yes
41,TX,"15,492",,,868,,364,,,46,,2020,April,Wednesday,Texas,Yes,Yes,No,No,Yes
42,TX,"16,455",,,963,,393,,,29,,2020,April,Thursday,Texas,Yes,Yes,No,No,Yes
43,TX,"17,371",,,916,,428,,,35,,2020,April,Friday,Texas,Yes,Yes,No,No,Yes
44,TX,"18,260",,,889,,453,,,25,,2020,April,Saturday,Texas,Yes,Yes,No,No,Yes
45,TX,"18,923",,,663,0,477,,,24,0,2020,April,Sunday,Texas,Yes,Yes,No,No,Yes
46,TX,"19,458",,,535,,495,,,18,0,2020,April,Monday,Texas,Yes,Yes,No,No,Yes
47,TX,"20,196",,,738,0,517,,,22,0,2020,April,Tuesday,Texas,Yes,Yes,No,No,Yes
48,TX,"21,069",,,873,0,543,,,26,0,2020,April,Wednesday,Texas,Yes,Yes,No,No,Yes
49,TX,"21,944",,,875,0,561,,,18,0,2020,April,Thursday,Texas,Yes,Yes,No,No,Yes
50,TX,"22,806",,,862,0,593,,,32,0,2020,April,Friday,Texas,Yes,Yes,No,No,Yes
51,TX,"23,773",,,967,0,623,,,30,0,2020,April,Saturday,Texas,Yes,Yes,No,No,Yes
52,TX,"24,631",,,858,0,648,,,25,0,2020,April,Sunday,Texas,Yes,Yes,No,No,Yes
53,TX,"25,297",,,666,0,663,,,15,0,2020,April,Monday,Texas,Yes,Yes,No,No,Yes
54,TX,"26,171",,,874,0,690,,,27,0,2020,April,Tuesday,Texas,Yes,Yes,No,No,Yes
55,TX,"27,054",,,883,0,732,,,42,0,2020,April,Wednesday,Texas,Yes,Yes,No,No,Yes
56,TX,"28,087",,,"1,033",0,782,,,50,0,2020,April,Thursday,Texas,Yes,Yes,No,No,Yes
57,TX,0,,,0,,0,,,0,,2020,May,Saturday,Texas,Yes,Yes,No,No,Yes
58,TX,3,,,3,,0,,,0,,2020,May,Sunday,Texas,Yes,Yes,No,No,Yes
59,TX,"6,812",,,702,,127,,,22,,2020,May,Monday,Texas,Yes,Yes,No,No,Yes
60,TX,"33,369",,,"1,037",0,906,,,22,0,2020,May,Tuesday,Texas,Yes,Yes,No,No,Yes
61,TX,"71,613",,,"1,693",0,"1,788",,,21,0,2020,May,Wednesday,Texas,Yes,Yes,No,No,Yes
62,TX,"195,239",,,"3,449",0,"2,637",,,29,0,2020,May,Thursday,Texas,Yes,Yes,No,No,Yes
63,TX,"459,887",,,"8,706",0,"7,497",,,236,0,2020,May,Friday,Texas,Yes,Yes,No,No,Yes
64,TX,"635,315",,,"4,486",0,"13,408",,,177,0,2020,May,Saturday,Texas,Yes,Yes,No,No,Yes
65,TX,"769,303",,,"3,409",0,"16,033",,,8,0,2020,May,Sunday,Texas,Yes,Yes,No,No,Yes
66,TX,"934,994",,,"8,594",0,"18,453",,,133,0,2020,May,Monday,Texas,Yes,Yes,No,No,Yes
67,TX,"42,403",,,"1,355",0,"1,158",,,25,0,2020,May,Wednesday,Texas,Yes,Yes,No,No,Yes
68,TX,"43,851",,,"1,448",0,"1,216",,,58,0,2020,May,Thursday,Texas,Yes,Yes,No,No,Yes
69,TX,"45,198",,,"1,347",0,"1,272",,,56,0,2020,May,Friday,Texas,Yes,Yes,No,No,Yes
70,TX,"46,999",,,"1,801",0,"1,305",,,33,0,2020,May,Saturday,Texas,Yes,Yes,No,No,Yes
